	2.6e3		3.35e5		9.569e-12
	2.13e3		2.30e5		1.093e-11
	1.97e3		1.53e5		1.225e-11
	1.85e3		8940.0		3.082e-10
	1785.0		6630.0		6.082e-10
	1605.0		6440.0		1.493e-9
	1515.0		6370.0		2.450e-9
	1380.0		6280.0		5.315e-9
	1280.0		6220.0		9.822e-9
	1180.0		6150.0		1.839e-8
	1065.0		6040.0		4.000e-8
	980.0		5925.0		7.359e-8
	905.0		5755.0		1.297e-7
	855.0		5650.0		1.902e-7
	755.0		5280.0		4.358e-7
	705.0		5030.0		6.846e-7
	655.0		4730.0		1.121e-06
	605.0		4420.0		1.899e-06
	555.0		4230.0		3.232e-06
	515.0		4170.0		4.902e-06
	450.0		4220.0		9.327e-06
	350.0		4465.0		2.334e-05
	250.0		4780.0		5.413e-05
	150.0		5180.0		1.150e-04
	100.0		5455.0		1.606e-04
	50.0		5840.0		2.152e-04
	0		6420.0		2.727e-04
	
